spp_gp,across_stage_dependent_habitats_condition,adult_body_mass_body_size,adult_mobility,age_to_1st_reproduction_generation_time,air_sea_interface,are_there_sub_populations_reproduct,biomass_removal_sensitivity_trait,biomineral,calcium_carbonate_structure_location,calcium_carbonate_structure_stages,can_the_sex_ratio_be_altered_by_temperature,communication_requirement_sound,dependent_interspecific_interactions,depth_min_max,dissolved_oxygen,eoo_range,extreme_diet_specialization,extreme_pressure_wave_sensitive_structures,fecundity,feeding_larva_post_hatching_metamorphosis,flight,global_population_size,habitat_forming,lifetime_reproductive_opportunities,max_age,navigation_requirements_light,navigation_requirements_magnetic,navigation_requirements_sound,number_of_sites_breeding,number_of_sites_incl_terrestrial_wetlands,parental_investment,ph,photosynthetic,planktonic_larval_duration_pld_exposure,post_birth_hatching_parental_dependence,reproductive_strategy,respiration_structures,salinity,sensitivity_to_wave_energy_physical_forcing,sst_rise_sensitivity_trait,sub_pop_dependence_breeding,sub_pop_dependence_foraging,terrestrial_and_marine_life_stages,thermal_sensitivity_to_heat_spikes_heat_waves,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,thermal_tolerance_range,within_stage_dependent_habitats_condition,zone
hippoglossus stenolepis,deep water,>1000mm - 50mm-999mm,mobile resident,1-5yrs - 10-20yrs,no,no,sensitive,aragonite,internal,both,NA,no,no,epipelagic - mesopelagic - bathypelagic,low tolerance,>20000,generalist,low,>10000,feeding non-calcifier,no,>1m,no,26-50 - 51-100,20-100yrs,NA,NA,NA,few,many,spawner,<7.4,no,<4months,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,yes,yes,no,no,15c,5-7.5c,other,benthic
indopacetus pacificus,surface water - deep water,>1000mm,NA,NA,yes,NA,sensitive,NA,none,none,NA,yes,NA,abyssopelagic,air breathers,>20000,specialist,NA,<1,na,no,1k-10k,no,NA,NA,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,NA,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,no,30c,7.5-10c,surface water - deep water,neritic - oceanic
isurus oxyrinchus,pelagic - surface water - rocky reef - soft slope - hard slope,>1000mm - 50mm-999mm,nomadic - horizontal migrator,10-20yrs - 5-10yrs,no,yes,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic,high tolerance,>20000,generalist,medium,2-5 - 10-20,na,no,NA,no,2-10,20-100yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,10-15c,pelagic - surface water - rocky reef - soft slope - hard slope,neritic - oceanic
kogia breviceps,surface water - deep water,>1000mm - 50mm-999mm,mobile resident,1-5yrs - 5-10yrs,yes,NA,sensitive,NA,none,none,NA,yes,NA,mesopelagic,air breathers,>20000,specialist,NA,<1,na,no,NA,no,2-10,20-100yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,NA,na,sensitive,NA,NA,no,NA,NA,10-15c,surface water - deep water,benthic
lagenodelphis hosei,surface water - deep water,>1000mm - 50mm-999mm,NA,5-10yrs,yes,NA,sensitive,NA,none,none,NA,yes,NA,mesopelagic,air breathers,>20000,generalist,NA,<1,na,no,100k-1m,no,2-10,10-20yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,NA,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,yes,NA,5-7.5c,surface water - deep water,neritic - oceanic
lamna ditropis,pelagic - surface water - soft slope - hard slope,>1000mm - 50mm-999mm,mobile resident,5-10yrs - 10-20yrs,no,yes,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic,high tolerance,>20000,generalist,medium,1-2 - 2-5,na,no,NA,no,2-10,20-100yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,7.5-10c,pelagic - surface water - soft slope - hard slope,neritic - oceanic
lepidochelys olivacea,surface water - deep water - beach - continental shelf,50mm-999mm,nomadic,10-20yrs - 5-10yrs,yes,yes,sensitive,NA,none,none,yes,no,no,epipelagic - air,air breathers,>20000,generalist,NA,100-1000,no larva,no,1k-10k - 10k-100k,no,26-50,20-100yrs,yes,yes,NA,many,does not aggregate,egg-layer,<7.4,no,not larvae,na,sexual dioecious,lungs,na,not sensitive,sensitive,yes,no,yes,no,30c,2.5-5c,surface water - deep water - beach - continental shelf,neritic - oceanic
lissodelphis borealis,deep water - surface water - coastal,>1000mm - 50mm-999mm,mobile resident,5-10yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,100k-1m,no,11-25,20-100yrs,yes,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,>year,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,20c,5-7.5c,deep water - surface water - coastal,neritic - oceanic
megachasma pelagios,deep water - pelagic,>1000mm - 50mm-999mm,mobile resident - vertical migrator - horizontal migrator,NA,no,NA,sensitive,NA,none,none,no,no,yes,epipelagic - mesopelagic - bathypelagic - abyssopelagic,high tolerance,>20000,specialist,medium,NA,na,no,NA,no,NA,NA,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,10-15c,deep water - pelagic,neritic - oceanic
megaptera novaeangliae,deep water - surface water - coastal,>1000mm,mobile resident - vertical migrator,1-5yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic,air breathers,>20000,generalist,NA,<1,na,NA,10k-100k,no,26-50,20-100yrs,NA,NA,yes,many,many,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,yes,NA,no,NA,25c,>15c,deep water - surface water - coastal,neritic - oceanic
mesoplodon densirostris,surface water - deep water,>1000mm - 50mm-999mm,NA,5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,mesopelagic,air breathers,>20000,specialist,NA,<1,na,no,NA,no,2-10,20-100yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,week-month,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,no,30c,10-15c,surface water - deep water,neritic - oceanic
mesoplodon stejnegeri,surface water - deep water,>1000mm - 50mm-999mm,NA,NA,yes,NA,sensitive,NA,none,none,NA,yes,NA,mesopelagic - bathypelagic,air breathers,>20000,specialist,NA,<1,na,no,NA,no,NA,20-100yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,NA,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,NA,NA,10-15c,surface water - deep water,neritic - oceanic
mobula birostris,coral reef - soft slope - hard slope - mangrove - seagrass - intertidal mud - beach - deep water - soft shelf - rocky reef,>1000mm - 50mm-999mm,mobile resident,5-10yrs - 10-20yrs,yes,NA,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic,high tolerance,>20000,generalist,NA,1-2,na,no,NA,no,NA,NA,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,5-7.5c,coral reef - soft slope - hard slope - mangrove - seagrass - intertidal mud - beach - deep water - soft shelf - rocky reef,neritic - oceanic
orcinus orca,surface water - sea ice edge,>1000mm - 50mm-999mm,mobile resident,10-20yrs - 5-10yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,10k-100k,no,2-10,20-100yrs,yes,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,>year,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,25c,>15c,surface water - sea ice edge,neritic - oceanic
peponocephala electra,surface water - other,>1000mm - 50mm-999mm,mobile resident,5-10yrs - 1-5yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic - bathypelagic - abyssopelagic - hadopelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,10k-100k,no,11-25,20-100yrs,NA,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,>year,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,30c,5-7.5c,surface water - other,neritic - oceanic
physeter macrocephalus,deep water - surface water,>1000mm,vertical migrator,5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,mesopelagic - bathypelagic,air breathers,>20000,specialist,NA,<1,na,no,100k-1m,no,11-25,20-100yrs,NA,NA,yes,many,NA,live birth/egg care,NA,NA,not larvae,>year,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,no,NA,>15c,deep water - surface water,benthic
prionace glauca,surface water - deep water,>1000mm - 50mm-999mm,mobile resident - horizontal migrator,5-10yrs,no,NA,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic,high tolerance,>20000,generalist,medium,20-50 - 50-100 - 100-1000,na,no,NA,no,2-10,20-100yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,10-15c,surface water - deep water,neritic - oceanic
pseudorca crassidens,deep water - surface water,>1000mm - 50mm-999mm,mobile resident,5-10yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic - bathypelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,1k-10k,no,2-10,20-100yrs,yes,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,>year,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,30c,10-15c,deep water - surface water,neritic - oceanic
pteroplatytrygon violacea,surface water - other,50mm-999mm,mobile resident,NA,no,NA,sensitive,NA,none,none,no,no,no,epipelagic,high tolerance,>20000,generalist,NA,2-5 - 5-10,na,no,NA,no,NA,10-20yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,5-7.5c,surface water - other,neritic - oceanic
rhincodon typus,coral reef - pelagic,>1000mm - 50mm-999mm,horizontal migrator,>20yrs,yes,yes,sensitive,NA,none,none,no,no,yes,epipelagic - mesopelagic,high tolerance,>20000,specialist,medium,20-50 - 50-100 - 100-1000,na,no,100k-1m,no,26-50,20-100yrs,NA,NA,NA,few,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,5-7.5c,coral reef - pelagic,neritic - oceanic
steno bredanensis,deep water - surface water,>1000mm - 50mm-999mm,mobile resident,5-10yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic - bathypelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,100k-1m,no,26-50,20-100yrs,yes,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,month-year,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,25c,5-7.5c,deep water - surface water,neritic - oceanic
tursiops truncatus,surface water - coastal - estuary,>1000mm - 50mm-999mm,mobile resident,5-10yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic,air breathers,>20000,generalist,NA,<1,na,no,100k-1m,no,2-10,20-100yrs,yes,NA,yes,many,many,live birth/egg care,NA,NA,not larvae,>year,sexual dioecious,lungs,euryhaline,na,sensitive,yes,yes,no,yes,NA,>15c,surface water - coastal - estuary,neritic - oceanic
zalophus,surface water - continental shelf - rocky intertidal,>1000mm,mobile resident,1-5yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic - air,air breathers,<99,generalist,low,<1,no larva,no,10k-100k,no,11-25,20-100yrs,NA,NA,NA,many,many,live birth/egg care,7.8-8.2,no,not larvae,month-year - >year,sexual dioecious,lungs,na,not sensitive,sensitive,yes,NA,yes,yes,30c,10-15c - 2.5-5c,rocky intertidal - other,neritic - oceanic - intertidal
ziphius cavirostris,surface water - deep water,>1000mm - 50mm-999mm,vertical migrator,10-20yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,bathypelagic,air breathers,>20000,NA,NA,<1,na,no,100k-1m,no,2-10,20-100yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,NA,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,NA,NA,>15c,surface water - deep water,benthic - neritic
acanthocybium solandri,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
